QID,wei_1,wei_2,wei_3
Q1_C1,0,0,0
Q1_C2,0,0,0
Q1_C3,0,0,0
Q1_C4,0,0,0
Q1_C5,0,0,0
Q1_C6,0,0,0
Q2_C1,0,0,0
Q3_C1,0,0,0
Q4_C1,0,0,0
Q5_C1,1,1,1
Q5_C2,0,0,0
Q5_C3,0,0,0
Q5_C4,1,1,1
Q5_C5,1,1,1
Q5_C6,1,1,1
Q5_C7,0,0,0
Q5_C8,1,1,1
Q6_C1,1,1,1
Q6_C2,0,0,0
Q6_C3,0,0,0
Q6_C4,1,1,1
Q7_C1,0,0,0
Q7_C2,1,1,1
Q7_C3,0,0,0
Q7_C4,1,1,1
Q8_C1,0,0,0
Q8_C2,0,0,0
Q8_C3,1,1,1
Q8_C4,0,0,0
Q8_C5,0,0,0
Q8_C6,0,0,0
Q8_C7,0,0,0
Q9_C1,1,1,1
Q9_C2,0,0,0
Q9_C3,0,0,0
Q9_C4,1,1,1
Q10_C1,0,0,0
Q10_C2,0,0,0
Q10_C3,0,0,0
Q10_C4,0,0,0
Q10_C5,0,0,0
Q11_C1,0,0,0
Q11_C2,0,0,0
Q11_C3,0,0,0
Q12_C1,1,1,1
Q12_C2,1,1,1
Q12_C3,1,1,1
Q12_C4,0,0,0
Q12_C5,0,0,0
Q13_C1,0,0,0
Q13_C2,0,0,0
Q13_C3,0,0,0
Q14_C1,0.5859879843,0.5770169276,0.5804472918
Q14_C2,0,0,0
Q14_C3,0.6541592334,0.6366351888,0.6452121756
Q14_C4,1,1,1
Q14_C5,0.5859879843,0.5770169276,0.5804472918
Q15_C1,0,0,0
Q16_C1,0,0,0
Q17_C1,0,0,0
Q17_C2,0,0,0
Q17_C3,0,0,0
Q17_C4,0,0,0
Q17_C5,0,0,0
Q18_C1,0.5789998131,0.571201649,0.5732742968
Q18_C2,0.5789998131,0.571201649,0.5732742968
Q18_C3,0,0,0
Q18_C4,1,1,1
Q18_C5,0,0,0
Q18_C6,0.5789998131,0.571201649,0.5732742968
Q18_C7,0,0,0
Q18_C8,0,0,0
Q18_C9,0.5789998131,0.571201649,0.5732742968
Q18_C10,1,1,1
Q18_C11,0.5789998131,0.571201649,0.5732742968
Q18_C12,0.5789998131,0.571201649,0.5732742968
Q18_C13,0,0,0
Q18_C14,0,0,0
Q18_C15,1,1,1
Q18_C16,0.5789998131,0.571201649,0.5732742968
Q18_C17,0.5789998131,0.571201649,0.5732742968
Q18_C18,1,1,1
Q18_C19,0.5789998131,0.571201649,0.5732742968
Q19_C1,1,1,1
Q19_C2,0,0,0
Q19_C3,0,0,0
Q19_C4,0,0,0
Q19_C5,0,0,0
Q19_C6,0,0,0
Q20_C1,0,0,0
Q20_C2,0,0,0
Q20_C3,0,0,0
Q20_C4,0,0,0
Q20_C5,1,1,1
Q21_C1,0,0,0
Q21_C2,0,0,0
Q21_C3,0,0,0
Q21_C4,0.7910616166,0.7702348909,0.7812189763
Q21_C5,0,0,0
Q21_C6,0,0,0
Q21_C7,0,0,0
Q21_C8,0,0,0
Q21_C9,0,0,0
Q21_C10,0.7910616166,0.7702348909,0.7812189763
Q21_C11,0,0,0
Q21_C12,0.7910616166,0.7702348909,0.7812189763
Q21_C13,1,1,1
Q22_C1,0.4204989407,0.412333359,0.4194615041
Q22_C2,0.7851512373,0.7753594969,0.7807957434
Q22_C3,0.4204989407,0.412333359,0.4194615041
Q22_C4,0.7851512373,0.7753594969,0.7807957434
Q22_C5,0.4204989407,0.412333359,0.4194615041
Q22_C6,0,0,0
Q22_C7,0,0,0
Q22_C8,0.7851512373,0.7753594969,0.7807957434
Q22_C9,0,0,0
Q22_C10,0,0,0
Q22_C11,0.9183763015,0.9166851308,0.9153986503
Q22_C12,0.7851512373,0.7753594969,0.7807957434
Q22_C13,1,1,1
Q22_C14,0.7851512373,0.7753594969,0.7807957434
Q22_C15,0.7851512373,0.7753594969,0.7807957434
Q23_C1,0,0,0
Q23_C2,0,0,0
Q23_C3,0,0,0
Q24_C1,0,0,0
Q24_C2,0,0,0
Q24_C3,0,0,0
Q24_C4,0,0,0
Q24_C5,0,0,0
Q24_C6,0,0,0
Q24_C7,0,0,0
Q25_C1,0,0,0
Q25_C2,1,1,1
Q25_C3,0,0,0
