qid,cgold,cgold_yn,f1,f2
Q1_C1,Bad,Not Applicable,0.0,0.2623801402907066
Q1_C2,Dialogue,Not Applicable,0.7698866786088435,0.6463177169265124
Q1_C3,Dialogue,Not Applicable,0.1562905582671318,0.3246544974116586
Q1_C4,Good,Not Applicable,0.4238122165209418,0.5117162033082923
Q1_C5,Bad,Not Applicable,0.3374666745550729,0.4407804466445333
Q1_C6,Bad,Not Applicable,0.1177880673868895,0.2777817222069769
Q2_C1,Dialogue,Not Applicable,0.623903958065639,0.7140505018692228
Q3_C1,Good,Not Applicable,0.03063662177452662,0.04168323072136608
Q4_C1,Dialogue,Not Applicable,0.11137791230788897,0.5283921592437051
Q5_C1,Good,Not Applicable,0.7565137843240562,0.7870092448579176
Q5_C2,Good,Not Applicable,0.48539805755918103,0.7154174325292898
Q5_C3,Good,Not Applicable,0.2513111506811699,0.730608007715796
Q5_C4,Potential,Not Applicable,0.6126938264349978,0.7661189950253745
Q5_C5,Dialogue,Not Applicable,0.8191021041167408,0.9201576886886726
Q5_C6,Good,Not Applicable,0.687088670772167,0.8923743953873634
Q5_C7,Dialogue,Not Applicable,0.5293082610761753,0.8924106434006408
Q5_C8,Good,Not Applicable,0.104498029912066,0.7790914710166065
Q6_C1,Good,Not Applicable,0.39678361413424484,0.8399324423390634
Q6_C2,Potential,Not Applicable,0.3273578825103923,0.8099641856111419
Q6_C3,Good,Not Applicable,0.48175574772408963,0.8430042989932491
Q6_C4,Good,Not Applicable,0.4871190227636538,0.9036658636486
Q7_C1,Good,Unsure,0.5574745123970668,0.8058184275209289
Q7_C2,Good,Yes,0.03956284759066684,0.4858264272173376
Q7_C3,Dialogue,Not Applicable,0.1770457292249347,0.6480639471382862
Q7_C4,Good,Yes,0.0,0.6479936991815126
Q8_C1,Good,Not Applicable,0.09716653134610427,0.3611460785260147
Q8_C2,Good,Not Applicable,0.10664934897092401,0.5937721212219156
Q8_C3,Good,Not Applicable,0.5632408358779668,0.8494620620207799
Q8_C4,Good,Not Applicable,-0.013207700154319758,0.22791801462237263
Q8_C5,Good,Not Applicable,0.28780882602920876,0.7172330152031048
Q8_C6,Good,Not Applicable,0.45103337454106857,0.7738758249680855
Q8_C7,Dialogue,Not Applicable,0.577531214273569,0.6284199458252315
Q9_C1,Dialogue,Not Applicable,0.45070576337276297,0.5860209477565848
Q9_C2,Good,Not Applicable,0.8409358312947786,0.8525752637982212
Q9_C3,Good,Not Applicable,0.6678385159819881,0.44012568671148466
Q9_C4,Bad,Not Applicable,0.2729894609322226,0.7821453594066382
Q10_C1,Good,Unsure,0.21831805178646116,0.39711231861082685
Q10_C2,Good,No,0.4659206758108415,0.624044038842073
Q10_C3,Dialogue,Not Applicable,0.181270202106391,0.5321097284214376
Q10_C4,Bad,Not Applicable,0.13604608537616164,0.5631380423624558
Q10_C5,Bad,Not Applicable,0.09046533416775451,0.4886255338998048
Q11_C1,Bad,Not Applicable,0.07729575896751968,0.3248818723769901
Q11_C2,Bad,Not Applicable,0.07729575896751968,0.3248818723769901
Q11_C3,Good,Not Applicable,0.07729575896751968,0.3248818723769901
Q12_C1,Good,Not Applicable,0.0,0.5451877564680488
Q12_C2,Dialogue,Not Applicable,0.0061776710112744345,0.2991361460153066
Q12_C3,Dialogue,Not Applicable,0.11762948503370665,0.2871162213277216
Q12_C4,Good,Not Applicable,0.05365758163194898,0.4898987236068756
Q12_C5,Bad,Not Applicable,0.0,0.0
Q13_C1,Good,Unsure,0.2839175721376295,0.45774269263546813
Q13_C2,Good,Yes,0.6064259591857177,0.5774933381960041
Q13_C3,Dialogue,Not Applicable,0.11056536049044,0.3292294078885367
Q14_C1,Good,Not Applicable,0.0,0.5371853080866144
Q14_C2,Good,Not Applicable,0.029135944438212404,0.7452758256539498
Q14_C3,Good,Not Applicable,0.0,0.0806644851124103
Q14_C4,Good,Not Applicable,0.4886803092601738,0.8218001722504095
Q14_C5,Good,Not Applicable,0.23331621277755255,0.6967475163605968
Q15_C1,Dialogue,Not Applicable,0.09386936062668391,0.15883121377673026
Q16_C1,Bad,Not Applicable,0.2244851116819331,0.15662078355649947
Q17_C1,Good,Not Applicable,0.04367535610426154,0.6636935633919369
Q17_C2,Bad,Not Applicable,0.5962372205771117,0.4504949586706447
Q17_C3,Good,Not Applicable,0.4949749170998626,0.7513466968193171
Q17_C4,Dialogue,Not Applicable,0.2084821368613334,0.8079214125284787
Q17_C5,Dialogue,Not Applicable,0.5859031979648955,0.5893265454478569
Q18_C1,Potential,Not Applicable,0.6214444718048311,0.41569072768622284
Q18_C2,Good,Not Applicable,0.5984560059242472,0.5710244047393783
Q18_C3,Potential,Not Applicable,0.22643563977241002,0.7550901492010725
Q18_C4,Good,Not Applicable,0.7141974671289446,0.736395606649321
Q18_C5,Good,Not Applicable,0.3467101522475645,0.6562046049465504
Q18_C6,Bad,Not Applicable,0.1832912822459433,0.5152444040476185
Q18_C7,Dialogue,Not Applicable,0.0,0.5087860072187178
Q18_C8,Dialogue,Not Applicable,0.13100821851781183,0.32004789346810286
Q18_C9,Bad,Not Applicable,0.33409230557249975,0.6808384015872393
Q18_C10,Potential,Not Applicable,0.6081621946212916,0.5681702036591715
Q18_C11,Dialogue,Not Applicable,0.8120013255529491,0.8241648808122402
Q18_C12,Good,Not Applicable,0.2995093876673828,0.6983735462276858
