qid,cgold,cgold_yn,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
Q1_C1,Bad,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.15,0.37209302325581395,0.4,0.13953488372093026,0.4382936507936508,0.49583333333333335,0.0,0.4382936507936508
Q1_C2,Dialogue,Not Applicable,0.13636363636363635,0.0,0.0,0.75,0.0,0.8,0.2093023255813954,0.9,0.09302325581395354,0.9166666666666666,0.9,0.5337449961641165,0.9166666666666666
Q1_C3,Dialogue,Not Applicable,0.05555555555555555,0.0,0.0,0.25,0.0,0.25,0.18791946308724827,0.7,0.06711409395973156,0.6676587301587301,0.7000000000000001,0.08451542547285165,0.6676587301587301
Q1_C4,Good,Not Applicable,0.16666666666666666,0.0,0.0,0.75,0.0,0.85,0.24827586206896557,0.9,0.1103448275862069,0.9305555555555556,0.8833333333333333,0.4902903378454601,0.9305555555555556
Q1_C5,Bad,Not Applicable,0.0625,0.0,0.0,0.25,0.0,0.25,0.2564102564102564,0.75,0.0854700854700855,0.7652116402116402,0.6499999999999999,0.11470786693528087,0.7652116402116402
Q1_C6,Bad,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.2647058823529411,0.45,0.05882352941176472,0.4176587301587301,0.4166666666666667,0.0,0.4176587301587301
Q2_C1,Dialogue,Not Applicable,0.05555555555555555,0.0,0.0,0.07142857142857142,0.0,0.12359550561797752,0.3577235772357723,0.24719101123595505,0.11382113821138207,0.46042328042328046,0.44000000000000006,0.19999999999999996,0.46042328042328046
Q3_C1,Good,Not Applicable,0.4,0.25,0.0,0.4,0.25,0.27586206896551724,0.43243243243243246,0.27586206896551724,0.43243243243243246,0.4148148148148148,0.5888888888888889,0.6324555320336759,0.4148148148148148
Q4_C1,Dialogue,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.3291139240506329,0.2653061224489796,0.05063291139240511,0.5216931216931217,0.3980952380952381,0.0,0.5216931216931217
Q5_C1,Good,Not Applicable,0.13043478260869565,0.04,0.0,0.14285714285714285,0.045454545454545456,0.15853658536585366,0.2727272727272727,0.16463414634146342,0.12121212121212122,0.6387484148847785,0.48290404040404056,0.3442651863295481,0.6387484148847785
Q5_C2,Good,Not Applicable,0.04,0.0,0.0,0.047619047619047616,0.0,0.07926829268292683,0.26262626262626265,0.15853658536585366,0.101010101010101,0.5698035550308277,0.4933333333333334,0.08606629658238703,0.5698035550308277
Q5_C3,Good,Not Applicable,0.038461538461538464,0.0,0.0,0.047619047619047616,0.0,0.15853658536585366,0.30222222222222217,0.2073170731707317,0.0888888888888889,0.5754487515851152,0.47930735930735935,0.05555555555555555,0.5754487515851152
Q5_C4,Potential,Not Applicable,0.02857142857142857,0.0,0.0,0.047619047619047616,0.0,0.1402439024390244,0.4117647058823529,0.38414634146341464,0.04575163398692805,0.66032128645765,0.8257575757575757,0.14294833797837264,0.66032128645765
Q5_C5,Dialogue,Not Applicable,0.16,0.034482758620689655,0.0,0.19047619047619047,0.045454545454545456,0.23780487804878048,0.3438914027149321,0.23170731707317074,0.11764705882352944,0.680078381214745,0.6160606060606061,0.3600411499115478,0.680078381214745
