QID,wei_1,wei_2,wei_3
Q2601_C1,0,0,0
Q2601_C2,0,0,0
Q2601_C3,1,1,1
Q2601_C4,0,0,0
Q2601_C5,0,0,0
Q2601_C6,0,0,0
Q2601_C7,0,0,0
Q2601_C8,0,0,0
Q2601_C9,0,0,0
Q2601_C10,0,0,0
Q2601_C11,0,0,0
Q2601_C12,0,0,0
Q2601_C13,0,0,0
Q2601_C14,0.6663623931,0.6591872661,0.6640567481
Q2602_C1,0,0,0
Q2602_C2,0,0,0
Q2603_C1,0,0,0
Q2603_C2,0,0,0
Q2603_C3,0,0,0
Q2603_C4,0,0,0
Q2603_C5,0,0,0
Q2603_C6,0,0,0
Q2604_C1,0,0,0
Q2604_C2,1,1,1
Q2604_C3,0.2446534477,0.2516263501,0.2437256518
Q2604_C4,0,0,0
Q2604_C5,0.5902333957,0.5971737568,0.5888572498
Q2604_C6,0.4097666043,0.4028262432,0.4111427502
Q2604_C7,0.345579948,0.3455474068,0.3451315981
Q2605_C1,0,0,0
Q2605_C2,0,0,0
Q2605_C3,0,0,0
Q2605_C4,0,0,0
Q2606_C1,0,0,0
Q2606_C2,0,0,0
Q2606_C3,0,0,0
Q2607_C1,0,0,0
Q2607_C2,0,0,0
Q2607_C3,0,0,0
Q2608_C1,0,0,0
Q2608_C2,0,0,0
Q2608_C3,0,0,0
Q2608_C4,0,0,0
Q2608_C5,0,0,0
Q2608_C6,0,0,0
Q2608_C7,0,0,0
Q2609_C1,0,0,0
Q2609_C2,0,0,0
Q2609_C3,0,0,0
Q2609_C4,0,0,0
Q2610_C1,0,0,0
Q2611_C1,0,0,0
Q2611_C2,0,0,0
Q2611_C3,0,0,0
Q2611_C4,0,0,0
Q2612_C1,0,0,0
Q2612_C2,0,0,0
Q2612_C3,0,0,0
Q2612_C4,1,1,1
Q2612_C5,0,0,0
Q2612_C6,0,0,0
Q2612_C7,0,0,0
Q2612_C8,0,0,0
Q2612_C9,0,0,0
Q2612_C10,0,0,0
Q2612_C11,0,0,0
Q2613_C1,0,0,0
Q2613_C2,0,0,0
Q2613_C3,0,0,0
Q2613_C4,0,0,0
Q2613_C5,0,0,0
Q2613_C6,0,0,0
Q2614_C1,0,0,0
Q2614_C2,0,0,0
Q2614_C3,0,0,0
Q2614_C4,0,0,0
Q2615_C1,0,0,0
Q2615_C2,0,0,0
Q2615_C3,0,0,0
Q2615_C4,0,0,0
Q2616_C1,0,0,0
Q2617_C1,0,0,0
Q2617_C2,1,1,1
Q2617_C3,0.7601505083,0.7430077647,0.7575097766
Q2618_C1,1,1,1
Q2618_C2,0,0,0
Q2618_C3,0,0,0
Q2619_C1,0,0,0
Q2619_C2,0,0,0
Q2619_C3,0,0,0
Q2619_C4,0,0,0
Q2620_C1,0,0,0
Q2620_C2,0,0,0
Q2620_C3,0,0,0
Q2620_C4,0,0,0
Q2621_C1,0,0,0
Q2621_C2,1,1,1
Q2621_C3,1,1,1
Q2622_C1,0,0,0
Q2622_C2,0,0,0
Q2622_C3,0,0,0
Q2622_C4,1,1,1
Q2623_C1,0,0,0
Q2623_C2,0,0,0
Q2623_C3,0,0,0
Q2624_C1,1,1,1
Q2624_C2,1,1,1
Q2624_C3,1,1,1
Q2624_C4,0,0,0
Q2624_C5,0,0,0
Q2624_C6,0,0,0
Q2624_C7,1,1,1
Q2624_C8,0,0,0
Q2625_C1,0,0,0
Q2625_C2,0,0,0
Q2626_C1,0,0,0
Q2626_C2,0,0,0
Q2626_C3,0,0,0
Q2627_C1,0,0,0
Q2627_C2,0,0,0
Q2627_C3,0.4494907621,0.454189121,0.4494208153
Q2627_C4,1,1,1
Q2627_C5,1,1,1
Q2627_C6,0,0,0
Q2627_C7,0,0,0
Q2627_C8,0.4494907621,0.454189121,0.4494208153
Q2627_C9,0,0,0
Q2628_C1,0,0,0
Q2628_C2,0,0,0
Q2628_C3,0,0,0
Q2628_C4,0,0,0
Q2629_C1,0,0,0
Q2629_C2,0,0,0
Q2630_C1,0,0,0
Q2630_C2,1,1,1
Q2630_C3,1,1,1
Q2630_C4,1,1,1
Q2630_C5,0.4831187767,0.5169156024,0.5007931633
Q2630_C6,0,0,0
Q2630_C7,0,0,0
Q2630_C8,1,1,1
Q2630_C9,0,0,0
Q2631_C1,0,0,0
Q2631_C2,0,0,0
Q2631_C3,0,0,0
Q2631_C4,0,0,0
Q2632_C1,0,0,0
Q2632_C2,0,0,0
Q2632_C3,0,0,0
Q2632_C4,0,0,0
Q2632_C5,0,0,0
Q2633_C1,0,0,0
Q2633_C2,0,0,0
Q2633_C3,0,0,0
Q2633_C4,0,0,0
Q2633_C5,0,0,0
Q2633_C6,0,0,0
Q2633_C7,0,0,0
Q2633_C8,0,0,0
Q2633_C9,0,0,0
Q2634_C1,1,1,1
Q2634_C2,0,0,0
Q2634_C3,0.8884864521,0.8433079727,0.8948672234
Q2634_C4,0,0,0
Q2634_C5,0,0,0
Q2635_C1,0,0,0
Q2635_C2,0,0,0
Q2636_C1,0,0,0
Q2636_C2,0,0,0
Q2636_C3,0,0,0
Q2636_C4,0,0,0
Q2636_C5,0,0,0
Q2636_C6,0,0,0
Q2636_C7,0,0,0
Q2637_C1,0,0,0
Q2637_C2,0,0,0
Q2638_C1,0,0,0
Q2639_C1,0,0,0
Q2639_C2,0,0,0
Q2639_C3,0,0,0
Q2640_C1,1,1,1
Q2640_C2,0.7745042261,0.7950185808,0.7704318195
Q2640_C3,0,0,0
Q2640_C4,0.7745042261,0.7950185808,0.7704318195
Q2641_C1,0,0,0
Q2641_C2,0,0,0
Q2641_C3,0,0,0
Q2641_C4,0,0,0
Q2642_C1,1,1,1
Q2642_C2,0,0,0
Q2642_C3,1,1,1
Q2642_C4,0.2870890992,0.2981370407,0.2891284452
Q2643_C1,0,0,0
Q2643_C2,0,0,0
Q2643_C3,0,0,0
Q2644_C1,0,0,0
Q2644_C2,0,0,0
Q2644_C3,0,0,0
Q2644_C4,0,0,0
Q2645_C1,0,0,0
Q2646_C1,0,0,0
Q2646_C2,0,0,0
Q2646_C3,1,1,1
Q2646_C4,0,0,0
Q2646_C5,0,0,0
Q2646_C6,0,0,0
Q2646_C7,0,0,0
Q2647_C1,0,0,0
Q2647_C2,1,1,1
Q2647_C3,0,0,0
Q2648_C1,0,0,0
Q2648_C2,0,0,0
Q2648_C3,1,1,1
Q2649_C1,0,0,0
Q2649_C2,0,0,0
Q2649_C3,0,0,0
Q2649_C4,0,0,0
Q2649_C5,0,0,0
Q2650_C1,0,0,0
Q2650_C2,1,1,1
Q2650_C3,1,1,1
Q2650_C4,0.3175344021,0.3185361428,0.3124129373
Q2651_C1,0,0,0
Q2652_C1,0,0,0
Q2652_C2,0,0,0
Q2653_C1,0,0,0
Q2653_C2,0,0,0
Q2653_C3,0,0,0
Q2653_C4,0,0,0
Q2653_C5,0,0,0
Q2653_C6,0,0,0
Q2654_C1,0,0,0
Q2654_C2,0,0,0
Q2654_C3,0,0,0
Q2654_C4,0,0,0
Q2654_C5,0,0,0
Q2654_C6,0,0,0
Q2655_C1,0.8570674322,0.8715901013,0.8645290036
Q2655_C2,0.7007527621,0.7255357906,0.711920455
Q2655_C3,0,0,0
Q2655_C4,1,1,1
Q2655_C5,0.5547426356,0.54895978,0.5527145064
Q2655_C6,0,0,0
Q2655_C7,0.7342000587,0.7560261293,0.7419624388
Q2656_C1,0.4806581598,0.4827150395,0.4827263589
Q2656_C2,0,0,0
Q2656_C3,0,0,0
Q2656_C4,0,0,0
Q2656_C5,0,0,0
Q2656_C6,0,0,0
Q2656_C7,0,0,0
Q2656_C8,1,1,1
Q2656_C9,1,1,1
Q2656_C10,0.5193418402,0.5172849605,0.5172736411
Q2656_C11,1,1,1
Q2656_C12,0,0,0
Q2656_C13,0,0,0
Q2656_C14,0,0,0
Q2656_C15,0,0,0
Q2656_C16,1,1,1
Q2656_C17,0,0,0
Q2656_C18,0,0,0
Q2656_C19,0,0,0
Q2656_C20,0,0,0
Q2657_C1,0,0,0
Q2658_C1,1,1,1
Q2658_C2,0,0,0
Q2658_C3,0,0,0
Q2658_C4,0.9362263778,0.9428531346,0.9389513634
Q2658_C5,0.5111053108,0.5472039339,0.5283214529
Q2659_C1,0,0,0
Q2659_C2,1,1,1
Q2659_C3,0,0,0
Q2659_C4,0,0,0
Q2659_C5,0,0,0
Q2659_C6,1,1,1
Q2659_C7,1,1,1
Q2659_C8,0,0,0
Q2659_C9,0,0,0
Q2659_C10,0,0,0
Q2660_C1,1,1,1
Q2660_C2,0,0,0
Q2660_C3,0.9309052991,0.9385393286,0.9298768853
Q2661_C1,0,0,0
Q2661_C2,0,0,0
Q2661_C3,0,0,0
Q2661_C4,0,0,0
Q2662_C1,0,0,0
Q2662_C2,0,0,0
Q2662_C3,0,0,0
Q2662_C4,0,0,0
Q2663_C1,0,0,0
Q2663_C2,1,1,1
Q2663_C3,0,0,0
Q2663_C4,1,1,1
Q2663_C5,0,0,0
Q2663_C6,1,1,1
Q2664_C1,1,1,1
Q2664_C2,0,0,0
Q2664_C3,0,0,0
Q2664_C4,0,0,0
Q2664_C5,0,0,0
Q2664_C6,0,0,0
Q2664_C7,0,0,0
Q2664_C8,0,0,0
Q2664_C9,0,0,0
Q2664_C10,0,0,0
Q2664_C11,0,0,0
Q2664_C12,0,0,0
Q2664_C13,0,0,0
Q2664_C14,0,0,0
Q2664_C15,0,0,0
Q2664_C16,1,1,1
Q2664_C17,0,0,0
Q2664_C18,0,0,0
Q2664_C19,0,0,0
Q2664_C20,0,0,0
Q2664_C21,0,0,0
Q2664_C22,0,0,0
Q2664_C23,0,0,0
Q2664_C24,0,0,0
Q2664_C25,0,0,0
Q2664_C26,0,0,0
Q2664_C27,0,0,0
Q2664_C28,0,0,0
Q2664_C29,0,0,0
Q2664_C30,0,0,0
Q2664_C31,0,0,0
Q2664_C32,0,0,0
Q2665_C1,0,0,0
Q2666_C1,0,0,0
Q2666_C2,0,0,0
Q2666_C3,0,0,0
Q2666_C4,0,0,0
Q2666_C5,0,0,0
Q2666_C6,1,1,1
Q2667_C1,0,0,0
Q2667_C2,0,0,0
Q2667_C3,0,0,0
Q2667_C4,0,0,0
Q2667_C5,0,0,0
Q2667_C6,0,0,0
